time,energy_cashflow,energy_generation_costs,heat,power,simulation,unit
2019-01-01 23:00:00,35924,27000,0,500,base_op_base,pp_7
2019-01-01 23:00:00,35924,27000,0,500,base_op_base,pp_8
2019-01-01 23:00:00,35924,27000,0,500,base_op_base,pp_9
2019-01-01 23:00:00,0,0,0,0,base_op_base,pp_10
2019-01-01 23:00:00,-4.3109e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-01 23:00:00,71848,18000,0,1000,base_op_base,pp_3
2019-01-01 23:00:00,35924,12000,0,500,base_op_base,pp_5
2019-01-02 00:00:00,0,0,0,0,base_op_base,Solar
2019-01-02 00:00:00,71846,12000,0,1000,base_op_base,pp_1
2019-01-02 00:00:00,71846,12000,0,1000,base_op_base,pp_2
2019-01-02 00:00:00,71846,24000,0,1000,base_op_base,pp_4
2019-01-02 00:00:00,35923,27000,0,500,base_op_base,pp_7
2019-01-02 00:00:00,35923,27000,0,500,base_op_base,pp_8
2019-01-02 00:00:00,35923,27000,0,500,base_op_base,pp_9
2019-01-02 00:00:00,0,0,0,0,base_op_base,pp_10
2019-01-02 00:00:00,-4.3107e+05,1.8e+07,,-6000,base_op_base,demand_EOM
2019-01-02 00:00:00,71846,18000,0,1000,base_op_base,pp_3
2019-01-02 00:00:00,35923,12000,0,500,base_op_base,pp_5
